Title,Price,Availability,Rating
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,In Stock,4
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,In Stock,5
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,In Stock,4
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,In Stock,1
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,In Stock,1
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,In Stock,1
The Origin of Species,10.01,In Stock,4
The Grand Design,13.76,In Stock,3
Peak: Secrets from the New Science of Expertise,16.28,In Stock,2
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,In Stock,4
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,In Stock,5
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,In Stock,2
Seven Brief Lessons on Physics,30.6,In Stock,4
The Selfish Gene,29.45,In Stock,1
